Check,Z,m_B,Err_m_B,expfact
1.00,0.01,33.73,0.33,0.989707047
2.00,0.01,33.21,0.32,0.989707047
3.00,0.01,33.56,0.31,0.989707047
4.00,0.01,34.02,0.26,0.98697197
5.00,0.01,33.73,0.26,0.986582478
6.00,0.01,34.13,0.25,0.986096046
7.00,0.01,34.12,0.25,0.986096046
8.00,0.01,34.43,0.26,0.986096046
9.00,0.02,34.11,0.25,0.985027581
10.00,0.02,34.58,0.24,0.98454268
11.00,0.02,34.50,0.24,0.984155103
12.00,0.02,34.13,0.23,0.984058256
13.00,0.02,34.41,0.24,0.98386462
14.00,0.02,33.82,0.27,0.983767831
15.00,0.02,34.54,0.23,0.98367106
16.00,0.02,34.21,0.23,0.983574309
17.00,0.02,34.47,0.23,0.983284169
18.00,0.02,34.18,0.23,0.983284169
19.00,0.02,34.68,0.24,0.983187494
20.00,0.02,34.52,0.25,0.982800983
21.00,0.02,34.70,0.23,0.982511299
22.00,0.02,34.29,0.23,0.982318271
23.00,0.02,34.96,0.22,0.981739643
24.00,0.02,34.59,0.23,0.981065437
25.00,0.02,35.06,0.21,0.978665101
26.00,0.02,34.70,0.22,0.978569332
27.00,0.02,35.14,0.21,0.977230529
28.00,0.02,35.36,0.20,0.97713504
29.00,0.02,35.09,0.20,0.976181179
30.00,0.03,35.09,0.21,0.975514584
31.00,0.03,35.41,0.20,0.974943941
32.00,0.03,35.62,0.20,0.974658869
33.00,0.03,35.06,0.24,0.974468914
34.00,0.03,35.64,0.20,0.974184121
35.00,0.03,35.36,0.21,0.974089227
36.00,0.03,35.90,0.20,0.9731413
37.00,0.03,35.53,0.21,0.972195217
38.00,0.03,35.70,0.19,0.971817298
39.00,0.03,36.12,0.20,0.971156648
40.00,0.03,35.90,0.20,0.970214417
41.00,0.03,35.85,0.19,0.969367972
42.00,0.03,36.08,0.19,0.968335431
43.00,0.03,35.54,0.20,0.967960507
44.00,0.03,36.17,0.19,0.966370313
45.00,0.04,36.17,0.19,0.965250965
46.00,0.04,36.01,0.20,0.965250965
47.00,0.04,36.39,0.18,0.965250965
48.00,0.04,36.67,0.18,0.963391137
49.00,0.04,36.38,0.19,0.961538462
50.00,0.04,36.53,0.19,0.958772771
51.00,0.05,36.97,0.18,0.956937799
52.00,0.05,36.35,0.21,0.956022945
53.00,0.05,36.90,0.20,0.953288847
54.00,0.05,36.52,0.20,0.953288847
55.00,0.05,36.84,0.21,0.952380952
56.00,0.05,37.08,0.19,0.952380952
57.00,0.05,37.16,0.18,0.950570342
58.00,0.05,36.97,0.18,0.949667616
59.00,0.06,37.31,0.18,0.946969697
60.00,0.06,37.13,0.19,0.945179584
61.00,0.06,37.30,0.22,0.942507069
62.00,0.06,37.67,0.19,0.940733772
63.00,0.07,37.78,0.19,0.933706816
64.00,0.08,37.77,0.19,0.930232558
65.00,0.08,37.94,0.18,0.926784059
66.00,0.09,38.07,0.28,0.919117647
67.00,0.10,38.73,0.20,0.908265213
68.00,0.12,39.20,0.22,0.889679715
69.00,0.17,39.79,0.18,0.853242321
70.00,0.18,39.98,0.18,0.847457627
71.00,0.28,41.00,0.41,0.782472613
72.00,0.30,41.01,0.25,0.769230769
73.00,0.32,41.45,0.18,0.757575758
74.00,0.33,40.92,0.30,0.749625187
75.00,0.34,40.71,0.27,0.746268657
76.00,0.38,42.02,0.22,0.724637681
77.00,0.39,42.07,0.19,0.720461095
78.00,0.40,40.89,0.30,0.715819613
79.00,0.40,42.04,0.19,0.714285714
80.00,0.42,42.10,0.19,0.706214689
81.00,0.42,41.76,0.23,0.704225352
82.00,0.43,41.70,0.40,0.701754386
83.00,0.43,42.33,0.34,0.699300699
84.00,0.43,41.99,0.18,0.699300699
85.00,0.43,42.36,0.25,0.699300699
86.00,0.44,42.57,0.40,0.694444444
87.00,0.44,42.08,0.19,0.694444444
88.00,0.45,42.13,0.21,0.689655172
89.00,0.45,42.10,0.23,0.689655172
90.00,0.46,42.29,0.28,0.687285223
91.00,0.46,41.83,0.40,0.684931507
92.00,0.46,42.56,0.27,0.684931507
93.00,0.47,42.74,0.23,0.680272109
94.00,0.47,42.77,0.21,0.680272109
95.00,0.47,42.46,0.19,0.679347826
96.00,0.48,42.14,0.19,0.677966102
97.00,0.48,42.38,0.21,0.67704807
98.00,0.48,42.48,0.23,0.676589986
99.00,0.48,42.37,0.20,0.675675676
100.00,0.49,42.41,0.25,0.67114094
101.00,0.50,42.25,0.19,0.668896321
102.00,0.50,42.74,0.20,0.666666667
103.00,0.50,42.75,0.19,0.666666667
104.00,0.50,42.75,0.24,0.666666667
105.00,0.51,41.64,0.35,0.663129973
106.00,0.52,42.83,0.30,0.658761528
107.00,0.53,42.56,0.18,0.655307995
108.00,0.53,43.01,0.27,0.655307995
109.00,0.53,42.77,0.25,0.654450262
110.00,0.54,42.66,0.18,0.650195059
111.00,0.54,41.96,0.41,0.649350649
112.00,0.54,42.68,0.19,0.64808814
113.00,0.57,42.81,0.25,0.636942675
114.00,0.57,42.88,0.31,0.636942675
115.00,0.58,42.86,0.19,0.633312223
116.00,0.58,43.04,0.21,0.632911392
117.00,0.58,42.63,0.19,0.632511069
118.00,0.62,42.85,0.23,0.619195046
119.00,0.62,43.11,0.30,0.617283951
120.00,0.63,42.62,0.24,0.613496933
121.00,0.64,43.07,0.21,0.609756098
122.00,0.66,43.27,0.20,0.603500302
123.00,0.67,43.19,0.28,0.598802395
124.00,0.71,43.05,0.32,0.584795322
125.00,0.74,43.09,0.19,0.576368876
126.00,0.74,43.35,0.30,0.574712644
127.00,0.77,43.12,0.17,0.564652739
128.00,0.78,43.81,0.35,0.562429696
129.00,0.80,43.88,0.31,0.556173526
130.00,0.81,43.97,0.35,0.552181115
131.00,0.82,43.76,0.33,0.550964187
132.00,0.82,44.09,0.28,0.550964187
133.00,0.83,43.96,0.46,0.547045952
134.00,0.83,43.61,0.61,0.547045952
135.00,0.83,43.85,0.19,0.546448087
136.00,0.83,43.55,0.29,0.545851528
137.00,0.84,43.86,0.22,0.54377379
138.00,0.86,44.03,0.30,0.537634409
139.00,0.87,43.75,0.38,0.53390283
140.00,0.88,43.90,0.30,0.531349628
141.00,0.88,44.23,0.19,0.530785563
142.00,0.89,42.91,0.81,0.530222694
143.00,0.90,43.64,0.25,0.526592944
144.00,0.94,43.87,0.20,0.515463918
145.00,0.95,43.99,0.25,0.513083633
146.00,0.95,44.06,0.26,0.512820513
147.00,0.95,44.28,0.31,0.511770727
148.00,0.98,43.91,0.26,0.505816894
149.00,1.06,44.25,0.23,0.486381323
150.00,1.14,44.84,0.30,0.46728972
151.00,1.19,44.19,0.34,0.456621005
152.00,1.27,45.20,0.20,0.441501104
153.00,1.30,45.27,0.19,0.434782609
154.00,1.31,44.70,0.22,0.433839479
155.00,1.34,45.05,0.25,0.427350427
156.00,1.55,45.30,0.22,0.392003136
157.00,1.76,45.53,0.35,0.362976407
